department,course_id,course_name,credit_hours,course_description
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD130,Introduction to African American and Diaspora Studies,3,"The course tracks the contours of history, life, societies, and cultures of the Atlantic African diaspora from their origins through Emancipation in the United States, the Caribbean, and South America."
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD159,The History of the Black Church and Social Change,3,"A survey of the historical development of the black church in America, beginning during the antebellum period and continuing to the present day."
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD200,Gender and Sexuality in Africa,3,Introduction to the study of gender and sexuality in African societies. Theoretical questions relating to the cross-cultural study of gender will be a primary focus. Topics include historical perspectives on the study of kinship and family in Africa and the impact of colonialism and other forms of social change.
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD201,Introduction to African Literature,3,"An introduction to African literature, with an emphasis on works by writers from the late colonial period to the present, and including a survey of different genres."
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD202,African Film and Performance,3,"This course studies African film and performance as two distinct, but interconnected genres of artistic expression used for negotiating a postcolonial African agency."
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD210,African Belief Systems: Religion and Philosophy in Sub-Saharan Africa,3,"Topics such as the impact of colonialism and missionization on African societies, the changing practice of Islam in Africa, and the intersection of religious and political unrest in postcolonial societies are addressed."
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD211,African Art and Culture,3,"Introduction to the plastic arts of sub-Saharan Africa through study of their relationship to the human values, institutions, and modes of aesthetic expression of select traditional and modern African societies."
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD212,Africa in the Global System,3,"This course provides a critical examination of the historical and theoretical bases for understanding the challenges and opportunities facing African states and societies in the current global system, which is dominated by neoliberal globalization."
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD214,Africa through the Ethnographic Lens,3,"This course examines the ways by which anthropologists have used ethnographic texts to describe and frame African societies. Among the topics explored through a close textual reading of both classical and contemporary ethnographic texts are systems of thought, politics, economics, social organization and the politics of representation."
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD220,Media and Democracy in Africa,3,"This course centers on the role of media in democratic governance in Africa. In particular, the course introduces to students political and normative theoretical bases for understanding the responsibility of the press in various forms of democracy, freedom of expression, and news influence on politics. Students will also explore and criticize the electoral processes and dynamics in electoral campaigns. The legal pressure on media during the elections and other times when African governments face scrutiny"
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD231,African American History since 1865,3,Special emphasis on postemancipation developments.
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD232,Black Women in America,3,An examination of the individual and collective experiences of black women in America from slavery to the present and the evolution of feminist consciousness.
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD237,African American Art Survey,3,An introduction to African American art and artists and their social contexts from early slavery.
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD238,African American Literature Survey,3,"This course is an introductory and chronological study of the African American literary canon. It examines various African American literary genres, including slave narratives, poetry, and the novel."
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD239,"Disaster, Recovery, Resistance in Southern Black History",3,"Since the 1920s environmental, health, industrial and other disasters have shaped southern African American culture, communities, and politics. The mass dislocation and despair brought by disasters and the manners in which African Americans resisted and struggled to overcome them have significantly changed the country's geographic, cultural, and political landscape. This course examines such epic disasters as floods, hurricanes, disease, and work-related tragedies and their long-term consequences and meanings."
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD240,African American Politics,3,"A survey of African American political development from emancipation to the present. The course examines the dynamics of minority group politics with African Americans as the primary unit of analysis. Students consider African American politics in domestic and global contexts and issues of local, regional, national, and international relevance."
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD250,The African American in Motion Pictures: 1900 to the Present,3,"This course will analyze the role of the African American in motion pictures, explore the development of stereotypical portrayals, and investigate the efforts of African American actors and actresses to overcome these portrayals."
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD252,African Americans in the West,3,"African Americans in the West is a survey course that examines the origins, migration, and development of African descended peoples in the United States west of the Mississippi River."
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD254,African Americans in North Carolina,3,This course is an overview of the black experience in North Carolina with special emphasis on Chapel Hill and Wilmington.
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD257,Black Nationalism in the United States,3,"This course traces the evolution of black nationalism, both as an idea and a movement, from the era of the American Revolution to its current Afrocentric expressions."
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD258,The Civil Rights Movement,3,An examination of the struggle by black Americans for social justice since World War II and of the systemic responses.
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD259,Black Influences on Popular Culture,3,"This course examines the influence of African American expressive culture, particularly popular music, on American mainstream culture."
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD260,Blacks in Latin America,3,The majority of people of African descent in this hemisphere live in Latin America. This course will explore various aspects of the black experience in Latin America.
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD261,"Afro-Cuban Dance: History, Theory, and Practice",3,"Course interrogates concepts such as religion, folklore, nation, blackness, gender, history, and dance. Concepts illustrated through readings, movement practice (dance classes), and spectatorship."
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD278,Black Caribbeans in the United States,3,"This course will look at the experiences of black Caribbean immigrants in the United States and the activities in which they participate, as well as their shifting senses of their identities."
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD282,Afropessimism in American and European Film,3,"Scholars of Afropessimism argue that we are not living in the age of post-slavery, but in the ""afterlife of slavery"" and that Blacks exist outside of the world, because the social world is held together by anti-Blackness. This argumentation has had important effects within Black German and Black European Studies. This course seeks to explore these philosophical claims, by comparing American films with European films that deal with anti-Black racism."
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD284,Contemporary Perspectives on the African Diaspora in the Americas,3,An interdisciplinary survey of African-descendant communities and the development and expression of African/black identities in the context of competing definitions of diaspora.
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD286,"The African Diaspora in the Colonial Americas, 1450-1800",3,"Explores the experiences of Africans in European colonies in locations such as colonial Mexico, Brazil, the Caribbean, and mainland North America.  Lecture and discussion format.  The major themes of inquiry include labor, law, gender, culture, and resistance, exploring differing experiences based on gender, location, and religion."
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD287,Health Equity in the African Diaspora,3,"Examines historical and contemporary processes shaping health and well-being in Africa Diaspora communities. Emphasis will be placed on health and health equity within African-descendant communities in the United States, Haiti, and Brazil."
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD288,Global Black Popular Cultures,3,"Through an interdisciplinary analysis of key aspects of black popular cultures in their global diversity, this course tackles fundamental questions about the meanings of black identity, identification, and belonging."
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD290,"Topics in African, African American, and Diaspora Studies",1,Subject matter will vary by instructor. Course description available from department office.
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD293,Individual Internships for Majors and Minors,1,"Students work internships and develop, in conjunction with a faculty supervisor, an academic project relating to their internship experience. Permission of the director of undergraduate studies required."
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD298,Blacks in British North America to 1833,3,"This course looks at blacks in the British world to 1833, with particular attention on the 13 colonies and the lands that would eventually form the Dominion of Canada."
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD300,Cultures of Health and Healing in Africa,3,"This course explores contemporary economic, political, and social factors influencing the health and welfare of African peoples. Emphasis is placed on understanding the cultural perspectives that shape non-Western experiences of health, disease, and notions of spiritual and physical well-being. Readings draw from the fields of anthropology, history, and public health."
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD301,Contemporary China-Africa Relations,3,"The course examines the contemporary relationship between China and Africa. This includes China and Africa's history; China's economic, trade, strategic, and foreign policy towards Africa; as well as the relationship between China and the Africans who live and work there."
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD302,"West African History, Politics, and Culture",3,"The first half of this course introduces students to the broad themes of West African history. The second half builds on this historical background by exploring case studies on a range of issues. Among the topics addressed in the case studies are Islam, gender, health, political violence, and globalization."
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD303,Islamic Cultures of Contemporary Africa,3,"By examining the social history and meaning of various cultural practices, literature, art, and popular music among Muslim Africans, this course introduces students to how Islam has influenced contemporary African identity and to the practices that came to be associated with Africa as a land of Islam."
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD307,21st-Century Scramble for Africa,3,"Examines the 21st-century global competition for African resources and compares it to the 19th-century ""scramble for Africa."" Major actors include the European Union, the United States, and China."
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD312,Terrorism in Africa,3,"This course introduces students to the phenomenon of religious-based terrorism in Africa today, its causes, dynamics, and what the states affected, regional organizations, and the international community are doing to eradicate it."
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD315,Political Protest and Conflict in Africa,3,"This course surveys contemporary forms of political conflict and protest in Africa. The nature, causes, and consequences of these conflicts will be examined."
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD316,Public Policy and Development in Africa,3,This course is a study of policy making in African states with respect to issues of sustainable development.
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD318,Politics of Art in Africa,3,"This course considers a variety of African artists and art scenes in their political, economic, and cultural contexts. Likely topics include artists under Apartheid, the global trade in traditional wood carvings, and Africa's place in the global contemporary art circuit."
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD319,Africa and Masks,3,"Examines the production, circulation, and consumption of masks in both African and non-African contexts. Expands, nuances, and sometimes undoes our notions of mask, masquerade, and masking."
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD320,Music of Africa,3,"An introduction to African music new and old, focusing on the continent's distinctive techniques and concepts, and on its musical interactions with the rest of the world.  The politics of music making in various historical settings will be explored.  Prior musical experience is helpful, but not required."
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD329,Islamic Cultures and Literatures in Africa,3,"This course examines Islamic influences on the cultures and societies of East Africa. Topics include introduction of Islam in the region, Swahili city states, hybrid Islamic cultures, Islam in the constitution, Wahhabi and Salafist puritanical Islam, Islam and politics, and secessionist movements and terrorism in East Africa Muslim societies."
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD330,20th-Century African American Art,3,Focus on the historical development of African American art from the Harlem Renaissance of early 20th century through the Black Arts Movement and Feminist Art Movement 1960s and early 1970s.
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD332,Remembering Race and Slavery,3,"The course provides an examination of the ways that the past plays out in the present. Specifically this course examines memorials, monuments, and museums that remember and reinvent slavery and race in the United States and throughout the rest of the Diaspora."
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD333,Race and Public Policy in the United States,3,"Exploration of the relationship between race and public policy in the U.S. Primary focus on African Americans, but other racial groups also studied.  Key areas include reproductive justice, health care, employment, labor, welfare, education, housing, environmental justice, policing, criminalization, foreign policy, immigration, and war."
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD334,Performing African American History,3,"Taking an issue of current or historic importance to African American communities, students conduct archival research and collect and/or analyze oral histories and work to create a documentary play that will be publicly performed."
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD335,Structure of African American English,3,"This course treats the structural properties of African American English. Students will learn to use sentence data to test hypotheses about language structure by investigating the phonology, syntax and semantics of African American English."
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD340,Diaspora Art and Cultural Politics,3,Examines the socio-political dimensions of African diaspora art and culture with a focus on African Americans in the 20th century.
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD341,Law and Society,3,"This course explores the intersection of law and societal developments drawing from the disciplines of history, political science, anthropology, feminist legal studies, and constitutional law.  The themes of the course will vary depending on the training, research interests, and geographical concentration of the faculty teaching the course."
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD344,African American Theatre: Exploring Legacy and Contemporary Voices,3,"This course investigates the history and legacy, as well as contemporary trends and ideas of African American drama through the study of its literary texts, performance styles, and cultural history.  We will explore how the African American's dramatists voice is shaping cultural landscapes and ongoing conversations."
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD350,The Harlem Renaissance,3,"An exploration of outstanding themes of the Harlem Renaissance's poetry, fiction, painting and visual art, and political journalism. The course includes excursions to museums and libraries. Previously offered as AAAD 450."
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD354,The Lived Experience of Inequality and Public Policy,3,"The course will explore the gap between public policy and the lived experiences of and reactions from constituents. Students will explore this gap by studying the development of twentieth-century public policy, examining the differing outcomes across groups, and the contemporary impact on housing, voting, education, and policing."
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD356,The History of Hip-Hop Culture,3,"Examines the emergence and impact of hip-hop music and culture and its broad influence in mainstream culture, as a global phenomenon and as a vehicle embodying formative ideas of its constituent communities."
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD385,Emancipation in the New World,3,"Will examine the way that the process of emancipation unfolded in Haiti, Jamaica, and Cuba, with major emphasis on emancipation in the United States."
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD386,"Comparative Studies in Culture, Gender, and Global Forces",3,Examines participatory development theory and practice in Africa and the United States in the context of other intervention strategies and with special attention to culture and gender.
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD387,HIV/AIDS in Africa and the Diaspora,3,"This course explores the history and contemporary politics of HIV/AIDS in African communities and across the Diaspora. The differing trajectories of the epidemic on the continent, in the West, and in the Caribbean and Latin America will be explored."
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD388,Black Feminist Thought & the Speculative Imagination,3,"This class places transnational Black feminist thought in conversation with Black speculative fiction from across the diaspora, particularly emphasizing sci-fi and fantasy narratives set in dystopic or post-apocalyptic worlds. By reading these two traditions of writing together, we study how both genres theorize the potential sources of, responses to, and preventative measures against forms of political, social, and environmental catastrophe."
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD389,"The Caribbean Anticolonial: Caribbean Literature, Film, Aesthetics, and Politics",3,"This course will examine literature, film, art, and music from the Caribbean that illustrates and critiques the past and present impacts of colonial rule in the region. What role has anticolonial Caribbean literature and art played in shaping the region's present and future, and in shaping global anticolonial politics?"
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD391,Human Development and Sustainability in Africa and the African Diaspora,3,"A critical introduction to the study of development and sustainability as interlinked approaches to understanding contemporary challenges in Africa and the African diaspora. Development is a concept with multiple meanings and contextual incarnations. The course emphasizes thinking of development as a field of expertise and intervention and as a modality of change, that goes beyond economistic understandings of development as simply economic growth."
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD392,Struggles to Shape the City,3,Examines approaches to studying the politicization and foreclosure of urban space. Focus in particular on race and socioeconomic class as key lenses through which to interpret and understand urban spatial struggles. Examines relations of inequality in the global North and the global South and analyzes struggles to remain in the city that are central to the politics of place.
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD395,Undergraduate Research Seminar,3,"Permission of the instructor for nonmajors. Subject matter will vary with each instructor.  Each course will concern itself with a study in depth of some problem in African, African American, or diaspora studies."
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD396,Independent Studies,3,Permission of the director of undergraduate studies. Independent study projects defined by student and faculty advisor. Majors only.
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD400,Contemporary African Politics,3,This upper level seminar examines contemporary African politics with a focus on political trends in the post-1990s period.
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD401,"Poverty, Health, and Human Development in Low Income Countries",3,"This course provides an understanding of how poverty is defined, the consequences of poverty, and policies to reduce poverty. It explores the determinants of human development outcomes from an interdisciplinary perspective (with a heavy economics focus)."
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD402,African Media and Film: History and Practice,3,This course explores forms of filmic and photographic representation of and by Africans. An introduction to key concepts in social theory and their application to the field of media studies and ethnography is a primary focus.
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD403,Human Rights: Theories and Practices in Africa,3,"This course explores major conceptual debates in the field of human rights. Further, it examines human rights practices and struggles in selected countries in Africa."
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD404,Music of African Diasporas,3,"An exploration of musical articulations of African diasporic identity focusing on aesthetics, social fields of production, and the historical development of the diaspora concept around music."
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD405,Contemporary African Art,3,"Examines modern and contemporary African art (1940s to the present) for Africans on the continent and abroad. Examines tradition, cultural heritage, colonialism, postcolonialism, local versus global, nationalism, gender, identity, diaspora."
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD410,"Gender, Sexuality, and Development in Contemporary Africa",3,"This upper-level seminar focuses on debates in international development studies exploring theories and policies of development, particularly those pertaining to gender, sexuality, masculinities, and women's political agency in contemporary Africa."
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD414,Senegalese Society and Culture,3,"This course provides an overview of Senegalese culture through movies, literary works, and scholarly books and articles. The course examines the geography, population, ethnic composition, thoughts and religious beliefs, arts and music, polygamy, status of women, and the impact of the tariqas or Sufi orders on people's daily lives."
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD419,African Studies Colloquium,3,"This course will equip students to analyze critically cutting-edge issues concerning Africa today through readings, lectures, and research. For junior/senior majors and students with an interest in Africa."
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD421,Introduction to the Languages of Africa,3,"This course is an introduction to the languages of Africa. No linguistics background is required. Topics include classification, characteristic linguistic features of African languages, and their role in their respective societies."
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD430,African American Intellectual History,3,An examination of major intellectual trends in African American life from the 19th to the early 21st century.
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD444,"Race, Ethnicity, and Blackness in Comparative Perspective",3,"This course will provide students the opportunity to compare and contrast how race, especially Blackness, and ethnicity are constructed across the globe as well as how race, politics, and policy interact in various countries. We will examine the phenomena of race and ethnicity in the political development of several countries including the U.S., South Africa, France, Australia, Brazil, and several others."
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD449,Black Women in Cinema: From the Early 1900s to the Present,3,"This course interrogates the diverse representations that black women personified on screen, investigates intersections between their off-screen lives and on-screen images, and explores what and how they contributed to the cinema industry. This course is a theoretical, critical, and historical examination of the black woman's cinematic experience."
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD451,"Orality, Literacy, and Cultural Production: African Americans and Racial Modernity",3,"Examines the divide between literacy- and orality-based modes of self-expression and cultural production, and the effects of this fault line on the African American struggle for inclusion and self-definition in the United States."
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD460,"Race, Culture, and Politics in Brazil",3,"Examines race, culture, and politics in Brazil from historical and contemporary perspectives. Focuses on dynamics of race, gender, class, and nation in shaping Brazilian social relations."
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD461,"Race, Gender, and Activism in Cuba",3,The course is designed to give students a simulated experience of ethnographic fieldwork and qualitative research. Students are led through a learning experience where they will examine black activism in Cuba from historical and contemporary perspectives.
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD466,Race and Gender in the Atlantic World,3,"This course examines constructions of race and gender in a comparative framework from the fifteenth to the mid-nineteenth century. Students will explore how people across the Atlantic understood visual differences and human diversity in emerging concepts of race. Students will also focus on how inhabitants of Africa, Europe, North America, and South America constructed the category of ""woman"" and ""man"" and the constraints and liberties these constructions imposed."
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD480,Vernacular Traditions in African American Music,4,"Explores performance traditions in African American music, tracing development from African song through reels, blues, gospel, and contemporary vernacular expression. Focuses on continuity, creativity, and change within African American aesthetics. Previously offered as FOLK 610/AAAD 432."
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD485,Transnational Black Feminist Thought and Practice,3,"This course uses social science approaches to explore the development of black feminist thought and activism in diverse cultural and national contexts. Students will gain knowledge of black feminist thought writing and activism in Europe, Latin America, the Caribbean, and the United States."
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD486,Africa in the American Imagination,3,"Examines the ways African art appears in United States popular culture (advertisements, magazines, toys, films, art) to generate meanings about Africa. Addresses intersecting issues of nationalism, multiculturalism, imperialism, nostalgia, and race. Restricted to sophomores, juniors, and seniors."
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD487,Intellectual Currents in African and African Diaspora Studies,3,"In this seminar students will examine primary documents of engaged scholarship written by Africans and people of African descent in the Americas, Europe, and elsewhere in the African Diaspora."
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD488,Human Rights and Democracy in African Diaspora Communities,3,This course examines how questions of democracy and human rights have been conceptualized in African Diaspora communities in the Americas and Europe.
