h2,h3,p,program,department
Special Opportunities in Art and Art History,Internships,"Art and art history majors are encouraged to pursue internships at local, regional, or national arts institutions or businesses. Students have worked in many art career contexts including museums and galleries, arts programming, and local businesses specializing in art-related production (photo studios, printmaking studios, illustration, design firms,and publishing). The departmental majors' Sakai site has useful information about the requirements and how to set up the contracts for ARTH293 and ARTS493 as well as a partial listing of organizations that have worked with our students in the past. If you would like to discuss specific ideas about a possible internship, speak to any faculty member or the relevant director of undergraduate studies (art history or studio). All internships taken for UNC credit are subject to governmental guidelines, and students must have internships preapproved and under contract before enrolling for either ARTH293 or ARTS493.","Studio Art Major, B.A.",Art and Art History
Special Opportunities in Art and Art History,Study Abroad,"Students are encouraged to pursue study abroad opportunities. While there are many opportunities to study art abroad, the Department of Art and Art History maintains a special affiliation with the Studio Art Centers International (SACI) and the Lorenzo di Medici  both in Florence, Italy  and the Glasgow School of Art in Scotland. Students should discuss their study abroad plans with the undergraduate advisor in studio art to obtain prior approval for courses taken abroad. Basically, courses that have an equivalent in the UNCChapel Hill curriculum usually are approved. Courses that fall outside the UNCChapel Hill curriculum must be evaluated on a case-by-case basis. No guarantee exists that a course will transfer for credit unless preapproved. Contact the Study Abroad Office to discuss the procedures for approval.","Studio Art Major, B.A.",Art and Art History
Special Opportunities in Art and Art History,Undergraduate Awards,"The studio program awards more than $24,000 annually to students, with individual awards ranging from a minimum of $500 to $3,000. A portfolio review each year allows studio art majors to submit up to four works to be considered for the following scholarships:Every year, the Department of Art and Art History commissions student work for the Alumni Sculpture Garden. Commissions are a minimum of $5,000, and the department awards up to three commissions. The selection process occurs in three stages: identifying interested students, a design phase, and the production of the work. During the November Awards Competition, interested students compete for one of six $500 design honorariums that are to be used to develop proposals. Winners of this first phase are required attend a session early in the spring semester to learn about how to develop a proposal and the components that must be included. Proposals are reviewed in March to select winners.","Studio Art Major, B.A.",Art and Art History
Special Opportunities in Art and Art History,Undergraduate Research,"Opportunities for undergraduate research in the Department of Art and Art History exist in several forms. Detailed descriptions and application guidelines are available on the art majors Sakai site and from the department's student services manager.Allcott Travel Fellowships support two summer research projects in studio art and/or art history.The Beatrice Pearman Fund supports special projects in both art history and studio art. Competitions for art history research funds are held in the fall and the spring. Studio art students may request funds for special projects by submitting a proposal to the director of undergraduate studies in studio art. Awards are $500 or less.Summer Undergraduate Research Fellowships (SURF) are administered through the UNC OfficeforUndergraduate Research. These $3,000 awards support undergraduate research projects over the summer. UNC's broad definition of research includes creative practices, and the James Boyd Gadson SURFs are specifically designated for studio art. SURF applications from studio art majors are automatically considered for these Gadson Fellowships. This fund typically supports at least two awards. Application deadlines (usually in February) are set by the Office for Undergraduate Research. Students interested in pursuing summer research should contact possible faculty sponsors toward the end of the fall semester.The Jacquelyn Friedman and Marvin Saltzman Fund in Art provides supplemental monies for painting supplies for students who for economic reasons may be hindered from working to their full potential. Any undergraduate student with need, regardless of major, enrolled in a departmental studio art painting class during the fall and/or spring semesters is eligible. Students can contact their course instructor or the student services specialist for further information.","Studio Art Major, B.A.",Art and Art History
Honors in Studio Art,,"The Senior Honors Thesis Project is designed to provide senior studio art majors an opportunity to pursue serious and substantial work that may qualify them to graduate ""with honors"" or ""with highest honors."" Students selected for the program conduct original creative research spanning the two semesters of the senior year.To be eligible to apply for this opportunity, students must be rising senior studio art majors and meet the minimum GPA threshold of 3.3 established by the Honors Carolina office. The application consists of the following:A call for applicationsis announced via the department student listserv in March. Applications are due inearly to mid April and are reviewed by the studio faculty within two weeks of the application deadline. If accepted as a studio art honors candidate, students enroll in the honors courses through the student services manager.In addition to the scheduled coursework, studio honors students work with a thesis committee consisting of a thesis advisor  who must be a studio art faculty member  and two additional faculty members, typically the faculty teaching the ARTS499 and ARTS500 classes, but faculty from other disciplines may also serve on the honors thesis committee.In studio art, the thesis project consists of the creative work produced and accompanying written components. Work is reviewed at the end of the fall semester to determine progress toward completion. In the spring semester, the completed honors project work and written thesis are presented to the honors committee for an oral defense. On the basis of this defense and the work presented, the committee determines whether or not a student graduates with an honors designation (honors or highest honors). Honors students exhibit their work in a formal exhibition either as a solo show at the time of the thesis defense and/or as aparticipant in the Senior Exhibition required for all graduating studio art majors. Studio art honors studentsalso join their art history peers in a departmental honors symposium in April.Current deadlines, details of the application process, and requirements for the senior studio art honors project (research, work and written components) are available on the art and art history majors Sakai site or from the student services manager.","Studio Art Major, Bachelor of Fine Arts (B.F.A)",Art and Art History
Special Opportunities in Art and Art History,Independent Study,"Students may pursue independent study coursework with individual faculty members. Such work may be undertaken only with the permission of the sponsoring faculty member. Students should consult individual faculty members prior to registration to secure permission. A proposal and a contract must be approved by the appropriate director of undergraduate studies (studio art or art history) before students may enroll. (See the the departmental majors Sakai site for instructions.) Since faculty members are limited to supervising only two independent study students each semester, students are strongly advised to contact the faculty member with whom they wish to work early in the registration period for the upcoming semester.Independent study work requires a minimum of three hours per week per credit hour. For example, a typical three-credit-hour class would require at least nine hours of work per week. Once the semester begins, students must meet with the faculty member initially to confirm goals, review expectations, and establish semester deadlines. Thereafter, students must meet regularly to review work in progress, with a suggested biweekly frequency. Total time spent in direct interaction with the faculty member for the semester must average 45 minutes per week. This may be in the form of face-to-face meetings, blog or e-mail exchanges, or group critiques with other independent study students and their advisors.","Studio Art Major, Bachelor of Fine Arts (B.F.A)",Art and Art History
Special Opportunities in Art and Art History,Departmental Involvement,"Students have opportunities to see and interact with a variety of arts professionals through exhibitions in the Allcott Galleries, installations of sculptural works in the Alumni Sculpture Garden, an artist-in-residence program, the Visiting Arts Professionals Program, and the Hanes Visiting Artist Lecture Series.There are several undergraduate student organizations serving the visual arts at Carolina. The Undergraduate Art Association (UAA) is a campuswide social club that supports and develops undergraduate visual artists at Carolina  regardless of their enrollment in art classes  and strengthens the impact of visual art in the University community. The Studio Art Majors Association (SAMA) is aimed at developing community and professional opportunities that augment the experience for studio art majors and minors, especially through programming of the SAMple Gallery in the Hanes Art Center. ArtHeels is a service-based organization that is passionate about bringing arts (visual, performing, and literary) to the healthcare setting. The Art History Liaisons is the undergraduate art history group. Kappa Pi is the department majors' honors society which includes both studio and art history majors. These groups serve as an important link between the majors and the departments administration. The department utilizes these organizations to facilitate communication about matters of interest, including participation in departmental initiatives or other extracurricular opportunities.","Studio Art Major, Bachelor of Fine Arts (B.F.A)",Art and Art History
Special Opportunities in Art and Art History,Internships,"Art and art history majors are encouraged to pursue internships at local, regional, or national arts institutions or businesses. Students have worked in many art career contexts including museums and galleries, arts programming, and local businesses specializing in art-related production (photo studios, printmaking studios, illustration, design firms,and publishing). The departmental majors' Sakai site has useful information about the requirements and how to set up the contracts for ARTH293 and ARTS493 as well as a partial listing of organizations that have worked with our students in the past. If you would like to discuss specific ideas about a possible internship, speak to any faculty member or the relevant director of undergraduate studies (art history or studio). All internships taken for UNC credit are subject to governmental guidelines, and students must have internships preapproved and under contract before enrolling for either ARTH293 or ARTS493.","Studio Art Major, Bachelor of Fine Arts (B.F.A)",Art and Art History
Special Opportunities in Art and Art History,Study Abroad,"Students are encouraged to pursue study abroad opportunities. While there are many opportunities to study art abroad, the Department of Art and Art History maintains a special affiliation with the Studio Art Centers International (SACI) and the Lorenzo di Medici  both in Florence, Italy  and the Glasgow School of Art in Scotland. Students should discuss their study abroad plans with the undergraduate advisor in studio art to obtain prior approval for courses taken abroad. Basically, courses that have an equivalent in the UNCChapel Hill curriculum usually are approved. Courses that fall outside the UNCChapel Hill curriculum must be evaluated on a case-by-case basis. No guarantee exists that a course will transfer for credit unless preapproved. Contact the Study Abroad Office to discuss the procedures for approval.","Studio Art Major, Bachelor of Fine Arts (B.F.A)",Art and Art History
Special Opportunities in Art and Art History,Undergraduate Awards,"The studio program awards more than $24,000 annually to students, with individual awards ranging from a minimum of $500 to $3,000. A portfolio review each year allows studio art majors to submit up to four works to be considered for the following scholarships:Every year, the Department of Art and Art History commissions student work for the Alumni Sculpture Garden. Commissions are a minimum of $5,000, and the department awards up to three commissions. The selection process occurs in three stages: identifying interested students, a design phase, and the production of the work. During the November Awards Competition, interested students compete for one of six $500 design honorariums that are to be used to develop proposals. Winners of this first phase are required attend a session early in the spring semester to learn about how to develop a proposal and the components that must be included. Proposals are reviewed in March to select winners.","Studio Art Major, Bachelor of Fine Arts (B.F.A)",Art and Art History
Special Opportunities in Art and Art History,Undergraduate Research,"Opportunities for undergraduate research in the Department of Art and Art History exist in several forms. Detailed descriptions and application guidelines are available on the art majors Sakai site and from the department's student services manager.Allcott Travel Fellowships support two summer research projects in studio art and/or art history.The Beatrice Pearman Fund supports special projects in both art history and studio art. Competitions for art history research funds are held in the fall and the spring. Studio art students may request funds for special projects by submitting a proposal to the director of undergraduate studies in studio art. Awards are $500 or less.Summer Undergraduate Research Fellowships (SURF) are administered through the UNC OfficeforUndergraduate Research. These $3,000 awards support undergraduate research projects over the summer. UNC's broad definition of research includes creative practices, and the James Boyd Gadson SURFs are specifically designated for studio art. SURF applications from studio art majors are automatically considered for these Gadson Fellowships. This fund typically supports at least two awards. Application deadlines (usually in February) are set by the Office for Undergraduate Research. Students interested in pursuing summer research should contact possible faculty sponsors toward the end of the fall semester.The Jacquelyn Friedman and Marvin Saltzman Fund in Art provides supplemental monies for painting supplies for students who for economic reasons may be hindered from working to their full potential. Any undergraduate student with need, regardless of major, enrolled in a departmental studio art painting class during the fall and/or spring semesters is eligible. Students can contact their course instructor or the student services specialist for further information.","Studio Art Major, Bachelor of Fine Arts (B.F.A)",Art and Art History
,,See program page here for special opportunities.,Art History Minor,Art and Art History
,,See the program page here for special opportunities.,Studio Art Minor,Art and Art History
Special Opportunities in Dramatic Art,Honors in Dramatic Art,"In order to receive departmental honors, students must have a 3.3 overall grade point average, a 3.6 grade point average in dramatic art, and complete at least five of the eight core courses in the major by the end of the junior year. Students enroll in DRAM691H (three hours credit) and DRAM692H (three hours credit) during their senior year and complete a special project (essay or creative endeavor) approved by the department. A student may then be designated as a candidate for undergraduate honors or highest honors based on department review of the special project or performance.","Dramatic Art Major, B.A.",Dramatic Art
Special Opportunities in Dramatic Art,Departmental Involvement,Two undergraduate students are elected each year from among the majors to serve as representatives to the faculty. They attend faculty meetings and host events that bring students and faculty together.,"Dramatic Art Major, B.A.",Dramatic Art
Special Opportunities in Dramatic Art,Performance/Production Opportunities,"The Department of Dramatic Arts Kenan Theatre Company (KTC), offers many opportunities for interested students  majors and nonmajors alike  to participate in performance and production. Each year the department supports four full productions in the Elizabeth Price Kenan Theatre. Seasons may include classic plays, contemporary plays, musicals, and original works. The director of undergraduate production and a board of undergraduate students fill leadership roles within KTC and oversee the department season. Productions are directed by faculty or guest artists. Undergraduate students are involved in the technical components of production as designers, carpenters, painters, electricians, costumers, and sound engineers. The KTC board typically includes producers, a publicity team, prop supervisor, wardrobe supervisor, master electrician, and a technical director for the entire season. Designers are selected on a per-show basis and can include undergraduates, graduate students, and faculty members.","Dramatic Art Major, B.A.",Dramatic Art
Special Opportunities in Dramatic Art,PlayMakers Repertory Company,"Named one of America's ""best regional theaters"" by American Theatre Magazine, PlayMakers Repertory Company is North Carolina's premiere professional theater company, located in the Joan H. Gillings Center for Dramatic Art. With reduced rate student ticket prices available for all shows, and unique opportunities to observe, work alongside and learn from professional theater artists throughout the year, PlayMakers serves as a hands-on research laboratory and educational resource to both undergraduate and graduate students. PlayMakers rehearsals are open to the entire UNC community, and company members strive to make themselves available for student mentoring. Undergraduate performers are invited to audition for supporting and understudy roles in PlayMakers productions twice a year. Undergraduates can also contribute backstage, running crew for PlayMakers' shows, serving as assistant directors, stage managers or technicians alongside industry experts, or working as interns in the theatre's administrative offices. PlayMakers makes available to every UNC student the experience of working for an award-winning professional theatre.","Dramatic Art Major, B.A.",Dramatic Art
Special Opportunities in Dramatic Art,Study Abroad,"With more than 300 programs available in 70 countries, there are many international experiences structured to enhance the students undergraduate career. Major and minor credit is available as well as General Education credit. Departmental approval for theatre courses is arranged with the director of undergraduate studies and is coordinated by the Study Abroad Office.Specific study abroad opportunities for dramatic art students include, but are not limited to, semester or yearlong exchange programs at Trinity College Dublin, the National University of Ireland in Galway, the University of Glasgow, and Queens University Belfast.Students can also spend the summer or a semester with programs at the London Academy of Music and Dramatic Art (LAMDA) and the Gaiety School of Acting, Dublin.Students are also eligible for the Elizabeth Malone Roughton Study Abroad Scholarship, a scholarship awarded to a dramatic art student studying in Ireland for a semester and completing a theatre-related internship as part of the program, and for three Joan H. Gillings Study Abroad Scholarships for drama majors and minors completing a theatre-related program for either semester or year-long study abroad.","Dramatic Art Major, B.A.",Dramatic Art
Special Opportunities in Dramatic Art,Undergraduate Awards,"Each spring the Department of Dramatic Art awards several monetary prizes to its undergraduate majors (and graduate students) who are continuing into the next academic year. The prizes have been endowed by generous alumni and friends, including Andy Griffith and George Grizzard. In addition, the Sam Selden Prize in Playwriting, the Wes Egan Award in Design, and the Lillian Chason Scholarship are awarded competitively each year.","Dramatic Art Major, B.A.",Dramatic Art
Special Opportunities in Dramatic Art,Undergraduate Research,"Faculty and departmental advisors are available to help students define areas of interest, understand the existing knowledge base in a particular area, and develop a plan for meaningful undergraduate research. These goals can be realized through departmental independent study and honors research. See the director of undergraduate studies and the honors advisor for more information. Additional resources are available through the Office for Undergraduate Research.","Dramatic Art Major, B.A.",Dramatic Art
Special Opportunities,Honors in Music,"Students interested in becoming candidates for a degree with honors in music should read the regulations governing departmental honors in the College of Arts and Sciences, found in the Degree Requirements section of this catalog, and should consult the honors advisor of the department toward the end of the sophomore year.","Music Major, B.A.",Music
Special Opportunities,Study Abroad,"The department actively encourages students to participate in study abroad programs to pursue their musical and other interests in an international context. The department maintains a strong relationship with institutions in Hong Kong, London, and Vienna, and can facilitate connections with programs around the world.","Music Major, B.A.",Music
Special Opportunities,Honors in Music,"Students interested in becoming candidates for a degree with honors in music should read the regulations governing departmental honors in the College of Arts and Sciences, found in the Degree Requirements section of this catalog, and should consult the honors advisor of the department toward the end of the sophomore year.","Music Major, Bachelor of Music (B.Mus.)",Music
Special Opportunities,Study Abroad,"The department actively encourages students to participate in study abroad programs to pursue their musical and other interests in an international context. The department maintains a strong relationship with institutions in Hong Kong, London, and Vienna, and can facilitate connections with programs around the world.","Music Major, Bachelor of Music (B.Mus.)",Music
Special Opportunities in American Studies,Honors in American Studies,"The American studies major offers a two-course honors program: AMST691H in the fall semester and AMST692H in the spring semester. Students must propose their thesis and contract with a faculty advisor during the semester prior to the beginning of their senior year. For each semester of honors work, thesis students must submit a signed learning contract to the Department of American Studies during the registration period. During the two semesters devoted to honors work, students conduct individual research and prepare an honors thesis under the supervision of a faculty member. Students also will attend a weekly seminar at the discretion of the advisor. Students must maintain a 3.3 cumulative grade point average to be eligible. With the approval of the associate or the assistant dean for honors, students with a slightly lower average who have a reasonable expectation of meeting the requirement within one more semester may embark upon the honors thesis, understanding that if they do not attain the 3.3 standard they may continue the research project as independent study but are not eligible to graduate with honors or highest honors.","American Studies Major, B.A.",American Studies
Special Opportunities in American Studies,Experiential Education,"The Department of American Studies offers a seminar on Service Learning in America (AMST398) and offers credits for approved internship projects (AMST493). Students have learned about American studies by serving the community in museums, schools, social agencies, and other cultural institutions. Many courses in the folklore program also offer experiential education credit through ethnographic training and fieldwork opportunities.","American Studies Major, B.A.",American Studies
Special Opportunities in American Studies,Study Abroad,"The Department of American Studies encourages students to consider a semester or more of study abroad and has developed close relations with several American studies programs in different countries. Studying American experience in international contexts is an integral part of understanding the place and influence of the United States in the world. Student learning is enhanced by the perspectives gained by examining how American subjects are taught in universities around the globe as well as by encountering the international students who enroll in American studies courses in Chapel Hill. Students can receive American studies major credit for selected study abroad programs and are encouraged to make study abroad part of their academic plans. Students interested in this experience should consult with the director of undergraduate studies or with the Study Abroad Office about international exchange programs sponsored by UNCChapel Hill. Furthermore, American studies majors and minors may apply for the Julia Preston Brumley Travel Scholarship, which is only available to American studies students, to help fund their study abroad.","American Studies Major, B.A.",American Studies
Special Opportunities in American Studies,Undergraduate Awards,The department awards Julia Preston Brumley Travel Scholarships to help fund international travel and study abroad. The Peter C. Baxter Memorial Prize is awarded annually to the outstanding senior majoring in American studies.,"American Studies Major, B.A.",American Studies
Special Opportunities in American Studies,Undergraduate Research,"The department offers credit for AMST396 and FOLK495. Majors can develop a two-semester honors thesis project (AMST691H and AMST692H) in consultation with an advisor. Students have received summer undergraduate research fellowships, earned research support and travel awards, and presented their work at the Annual Celebration of Undergraduate Research each spring.","American Studies Major, B.A.",American Studies
Special Opportunities in American Studies,Honors in American Studies,"The American studies major offers a two-course honors program: AMST691H in the fall semester and AMST692H in the spring semester. Students must propose their thesis and contract with a faculty advisor during the semester prior to the beginning of their senior year. For each semester of honors work, thesis students must submit a signed learning contract to the Department of American Studies during the registration period. During the two semesters devoted to honors work, students conduct individual research and prepare an honors thesis under the supervision of a faculty member. Students also will attend a weekly seminar at the discretion of the advisor. Students must maintain a 3.3 cumulative grade point average to be eligible. With the approval of the associate or the assistant dean for honors, students with a slightly lower average who have a reasonable expectation of meeting the requirement within one more semester may embark upon the honors thesis, understanding that if they do not attain the 3.3 standard they may continue the research project as independent study but are not eligible to graduate with honors or highest honors.","American Studies Major, B.A.–American Indian and Indigenous Studies Concentration",American Studies
Special Opportunities in American Studies,Experiential Education,"The Department of American Studies offers a seminar on Service Learning in America (AMST398) and offers credits for approved internship projects (AMST493). Students have learned about American studies by serving the community in museums, schools, social agencies, and other cultural institutions. Many courses in the folklore program also offer experiential education credit through ethnographic training and fieldwork opportunities.","American Studies Major, B.A.–American Indian and Indigenous Studies Concentration",American Studies
Special Opportunities in American Studies,Study Abroad,"The Department of American Studies encourages students to consider a semester or more of study abroad and has developed close relations with several American studies programs in different countries. Studying American experience in international contexts is an integral part of understanding the place and influence of the United States in the world. Student learning is enhanced by the perspectives gained by examining how American subjects are taught in universities around the globe as well as by encountering the international students who enroll in American studies courses in Chapel Hill. Students can receive American studies major credit for selected study abroad programs and are encouraged to make study abroad part of their academic plans. Students interested in this experience should consult with the director of undergraduate studies or with the Study Abroad Office about international exchange programs sponsored by UNCChapel Hill. Furthermore, American studies majors and minors may apply for the Julia Preston Brumley Travel Scholarship, which is only available to American studies students, to help fund their study abroad.","American Studies Major, B.A.–American Indian and Indigenous Studies Concentration",American Studies
Special Opportunities in American Studies,Undergraduate Awards,The department awards Julia Preston Brumley Travel Scholarships to help fund international travel and study abroad. The Peter C. Baxter Memorial Prize is awarded annually to the outstanding senior majoring in American studies.,"American Studies Major, B.A.–American Indian and Indigenous Studies Concentration",American Studies
